CALL_KEY,CALL_STATUS,CALL_DURATION,CALL_START_TIMESTAMP,MEDIA_CALLER_IP,MEDIA_CALLER_PORT,MEDIA_CALLEE_IP,MEDIA_CALLEE_PORT,MEDIA_CALLER_PVP_IP,MEDIA_CALLER_PVP_PORT,MEDIA_CALLEE_PVP_IP,MEDIA_CALLEE_PVP_PORT,CALL_DIRECTIONALITY,CALL_TYPE,CALL_TERM_PARTY,CALL_TERM_REASON,MPC_SLOT_ID,DSP_ID,DSP_CORE,DSP_CHANNEL,CALLER_LAG_ID,CALLEE_LAG_ID,SIG_PROFILE,SIP_POLICY,CUSTOMER,VQA_PROFILE,CALLER_CALL_ID,CALLEE_CALL_ID,CALLER_DISP_NAME,CALLER_USER_NAME,CALLER_HOST_NAME,CALLEE_DISP_NAME,CALLEE_USER_NAME,CALLEE_HOST_NAME,SIG_SRC_IP,SIG_SRC_PORT,SIG_PVP_IP,SIG_PVP_PORT,SIG_NEXT_HOP_IP,SIG_NEXT_HOP_PORT,INVITE_OPAQUE_DATA,SUBSCRIBE_OPAQUE_DATA,CODEC_S2IN,CODEC_S1OUT,PTIME_S1OUT,CODEC_S1IN,CODEC_S2OUT,PTIME_S2OUT,MOS_LQ_FINAL_S2IN,MOS_LQ_FINAL_S1OUT,MOS_LQ_FINAL_S1IN,MOS_LQ_FINAL_S2OUT,MOS_CQ_FINAL_S2IN,MOS_CQ_FINAL_S1OUT,MOS_CQ_FINAL_S1IN,MOS_CQ_FINAL_S2OUT,R_LQ_FINAL_S2IN,R_LQ_FINAL_S1OUT,R_LQ_FINAL_S1IN,R_LQ_FINAL_S2OUT,R_CQ_FINAL_S2IN,R_CQ_FINAL_S1OUT,R_CQ_FINAL_S1IN,R_CQ_FINAL_S2OUT,SPEECH_ACTIVITY_S2,SPEECH_ACTIVITY_S1,SPEECH_LVL_FINAL_S2IN,SPEECH_LVL_FINAL_S1OUT,SPEECH_LVL_FINAL_S1IN,SPEECH_LVL_FINAL_S2OUT,NOISE_ACTIVITY_S2,NOISE_ACTIVITY_S1,NOISE_LVL_FINAL_S2IN,NOISE_LVL_FINAL_S1OUT,NOISE_LVL_FINAL_S1IN,NOISE_LVL_FINAL_S2OUT,SNR_FINAL_S2IN,SNR_FINAL_S1OUT,SNR_FINAL_S1IN,SNR_FINAL_S2OUT,AEC_WAEPL_S2,AEC_WAEPL_S1,AEC_DELAY_S2,AEC_DELAY_S1,PKT_JITTER_AVG_S2,PKT_JITTER_AVG_S1,PKT_LOSS_AVG_S2,PKT_LOSS_AVG_S1,PKT_DISC_AVG_S2,PKT_DISC_AVG_S1,PKT_COUNT_LOST_S2,PKT_COUNT_LOST_S1,PKT_COUNT_DISC_S2,PKT_COUNT_DISC_S1,PKT_COUNT_RX_S2,PKT_COUNT_TX_S1,PKT_COUNT_RX_S1,PKT_COUNT_TX_S2,CALL_PDD_DUR,CALL_ALERT_DUR,RTP_SRC_MISMATCH_S2IN,RTP_SRC_MISMATCH_S1IN,RTCP_SRC_MISMATCH_S2IN,RTCP_SRC_MISMATCH_S1IN,DTMF_EVENT_S2IN,DTMF_EVENT_S1OUT,DTMF_EVENT_S1IN,DTMF_EVENT_S2OUT,SSRC_CHANGE_S2IN,SSRC_CHANGE_S1IN,SEQ_NUM_JUMP_S2IN,SEQ_NUM_JUMP_S1IN,LAST_SSRC_S2IN,LAST_SSRC_S1IN,MUSIC_EVENT_S2,MUSIC_EVENT_S1,MUSIC_MAX_LVL_S2,MUSIC_MAX_LVL_S1,MUSIC_MAX_DUR_S2,MUSIC_MAX_DUR_S1
1073741829,0x00300040,180,1451888136,10.20.1.17,1036,10.20.1.18,1036,10.20.1.55,10052,10.20.1.55,10054,1,0,0,1,7,7,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14246834965288,GLPG14246834965288,7,7,10.20.1.17,7,7,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10345,5771,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9003,8582,9004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1CBC4A01,0x1CB98301,0,0,,,,
1073741830,0x00300040,180,1451888136,10.20.1.17,1042,10.20.1.18,1042,10.20.1.55,10060,10.20.1.55,10062,1,0,0,1,7,8,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14246844965297,GLPG14246844965297,10,10,10.20.1.17,10,10,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10345,5771,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9003,8582,9004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1CA0E501,0x1CC8D101,0,0,,,,
1073741831,0x00300040,180,1451888136,10.20.1.17,1048,10.20.1.18,1048,10.20.1.55,10064,10.20.1.55,10066,1,0,0,1,5,9,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14247034965308,GLPG14247034965308,13,13,10.20.1.17,13,13,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10345,5769,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9003,8582,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1D01BD01,0x1CBD2C01,0,0,,,,
1073741832,0x00300040,180,1451888136,10.20.1.17,1054,10.20.1.18,1054,10.20.1.55,10076,10.20.1.55,10078,1,0,0,1,7,10,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14247234965325,GLPG14247234965325,16,16,10.20.1.17,16,16,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10345,5769,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9003,8582,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1D061A01,0x1CEA4A01,0,0,,,,
1073741833,0x00300040,180,1451888136,10.20.1.17,1060,10.20.1.18,1060,10.20.1.55,10084,10.20.1.55,10086,1,0,0,1,7,11,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14247234965334,GLPG14247234965334,19,19,10.20.1.17,19,19,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10344,5768,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9002,8582,9002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1CE94401,0x1CD36A01,0,0,,,,
1073741834,0x00100040,180,1451888136,10.20.1.17,1066,10.20.1.18,1066,10.20.1.55,10096,10.20.1.55,10098,1,0,0,1,5,13,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14247434965351,GLPG14247434965351,22,22,10.20.1.17,22,22,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,3.5,4.1,3.1,3.2,87,91,64,66,71,90,63,65,7661,12237,-10,-10,-10,-12,10343,5770,-57,-61,-35,-37,47,51,25,25,39,,40,,0,0,0,0,0,0,0,0,0,0,8582,9002,8582,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1CF2A701,0x1CD04901,0,0,,,,
1073741835,0x00300040,180,1451888136,10.20.1.17,1072,10.20.1.18,1072,10.20.1.55,10108,10.20.1.55,10110,1,0,0,1,7,14,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14247434965360,GLPG14247434965360,25,25,10.20.1.17,25,25,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10344,5770,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9002,8582,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1CAF4B01,0x1C8D7001,0,0,,,,
1073741836,0x00300040,180,1451888136,10.20.1.17,1078,10.20.1.18,1078,10.20.1.55,10116,10.20.1.55,10118,1,0,0,1,7,15,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14247634965375,GLPG14247634965375,28,28,10.20.1.17,28,28,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10344,5768,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9002,8582,9002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1CD6DB01,0x1CEA5201,0,0,,,,
1073741837,0x00300040,180,1451888136,10.20.1.17,1084,10.20.1.18,1084,10.20.1.55,10124,10.20.1.55,10126,1,0,0,1,7,16,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14247834965390,GLPG14247834965390,31,31,10.20.1.17,31,31,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10342,5766,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9001,8582,9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1CA8E001,0x1D012301,0,0,,,,
1073741838,0x00300040,180,1451888136,10.20.1.17,1090,10.20.1.18,1090,10.20.1.55,10128,10.20.1.55,10130,1,0,0,1,5,17,1,1,1,1,SIN04_B553_VQATWO,SIN04_B553_VQATWO,Default,SIN04_VQATWO,GLPG14247834965399,GLPG14247834965399,34,34,10.20.1.17,34,34,10.20.1.18,10.20.1.17,54098,10.20.1.193,5060,10.20.1.18,5060,,,G711Alaw,G711Alaw,20,G711Alaw,G711Alaw,20,4.1,4.2,3.2,3.3,4,4.1,3.1,3.2,87,91,64,66,86,90,63,65,7661,12237,-10,-10,-10,-12,10345,5770,-57,-61,-35,-37,47,51,25,25,,,,,0,0,0,0,0,0,0,0,0,0,8582,9003,8582,9003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x1C9A1B01,0x1CAEA701,0,0,,,,
